Iterations,N. Birds,Run,Target function,Type,Error,Point,Time (s)
1000,100,1,Sphere,Parallel,2.7617438490905943e-18,"[-1.1304300e-09  6.0672023e-10 -7.5132256e-10 -2.0741453e-10
  7.1292083e-10]",0.5079607963562012
1000,100,1,Sphere,Iterative,1.1167401745968606e-15,"[ 2.0810020e-10  1.4573129e-09 -1.4441474e-08  9.2831733e-09
  2.8632842e-08]",2.596774101257324
1000,100,2,Sphere,Parallel,5.517593791564155e-14,"[ 1.0151406e-07 -6.0120769e-08 -1.6125057e-07  1.2183482e-07
  2.0269638e-08]",0.46267223358154297
1000,100,2,Sphere,Iterative,2.2083687705925918e-15,"[ 7.8119911e-09  4.2426763e-08 -1.2457122e-08  1.3239173e-08
  4.1055870e-09]",2.3847768306732178
1000,100,3,Sphere,Parallel,609.1958874558961,[-21.8139     -4.492091    2.116569    4.2860374   9.503725 ],0.48731565475463867
1000,100,3,Sphere,Iterative,2685.456443786621,[-4.709141 33.1409   29.898834  6.117525 25.171349],2.424241542816162
1000,100,4,Sphere,Parallel,6.687287780517158e-11,"[-2.9203884e-06 -4.3416539e-06 -5.2774922e-06 -1.3137123e-06
  3.1490454e-06]",0.4526495933532715
1000,100,4,Sphere,Iterative,6.126022822697252e-11,"[ 2.2069898e-06  9.7335578e-07  8.0836890e-07 -6.9649695e-06
  2.5055424e-06]",2.4114084243774414
1000,100,5,Sphere,Parallel,1.5657863438422299e-06,"[-7.6126680e-04  4.6745269e-04 -4.7134957e-04  7.3448871e-04
  7.8122364e-05]",0.4799845218658447
1000,100,5,Sphere,Iterative,3.1173223558056407e-07,"[ 8.98949802e-05 -3.35900317e-04 -1.04156439e-04  1.11575006e-04
  4.09297645e-04]",2.4155118465423584
1000,100,6,Sphere,Parallel,1.287231212663164e-13,[1.8932003e-07 1.0247042e-07 1.0004612e-07 1.9398937e-07 1.8638605e-07],0.4773409366607666
1000,100,6,Sphere,Iterative,1.3445661958962516e-13,"[ 1.0898515e-07 -1.7464356e-07  2.1471283e-07 -1.6643611e-08
 -2.1377529e-07]",2.4075779914855957
1000,100,7,Sphere,Parallel,1.3347338649038869e-17,"[ 7.8859635e-10  2.7268463e-09  7.2836670e-10 -7.8296480e-11
 -2.1801640e-09]",0.47174501419067383
1000,100,7,Sphere,Iterative,4.822568007773868e-18,[-1.195044e-10 -8.309531e-11  7.780576e-11 -9.357271e-10  1.979834e-09],2.5353822708129883
1000,100,8,Sphere,Parallel,1.9177099125190261e-10,"[-1.2296694e-05 -5.2386486e-06 -1.1904858e-06 -6.4141204e-08
 -3.4201607e-06]",0.5069634914398193
1000,100,8,Sphere,Iterative,2.1285844771902832e-10,"[-7.1537879e-06  1.2112136e-05 -1.0084186e-06  4.2909778e-07
 -3.7117252e-06]",2.558657646179199
1000,100,9,Sphere,Parallel,595.0591936055462,[15.617813 10.097422  9.855194 -7.660351  9.6633  ],0.5597631931304932
1000,100,9,Sphere,Iterative,538.4836874008179,[ -2.5462513  -4.248534   18.743141   -6.076935  -11.212305 ],2.673116683959961
1000,100,10,Sphere,Parallel,4.1179874554062462e-25,"[-1.5739287e-13  2.6283229e-15  3.6349548e-13 -3.2214297e-13
 -3.8873418e-13]",0.5085935592651367
1000,100,10,Sphere,Iterative,8.170142791483357e-26,"[-7.3688668e-14  1.3029671e-13 -1.9217012e-13  1.4495057e-13
 -3.6798852e-14]",2.5811078548431396
1000,100,11,Sphere,Parallel,8.593525456641263e-14,"[ 5.3473741e-08 -3.1751711e-08 -2.0769852e-07 -1.5534596e-07
  1.2164128e-07]",0.5488920211791992
1000,100,11,Sphere,Iterative,6.660226900132844e-17,"[ 5.9202776e-10  6.1354068e-09 -2.3549962e-10 -5.2890066e-09
  7.6125239e-10]",2.4152491092681885
1000,100,12,Sphere,Parallel,6.550854767744607e-23,"[ 1.2401746e-12 -2.4325958e-12  1.4413609e-12  3.3270921e-12
 -6.7011886e-12]",0.4661421775817871
1000,100,12,Sphere,Iterative,3.13137558694747e-23,"[ 2.1682933e-12 -4.0584203e-12 -7.9904833e-14 -1.3506349e-12
 -2.8828606e-12]",2.3662216663360596
1000,100,13,Sphere,Parallel,1.885178858222563e-24,"[-2.27277127e-13  1.37522047e-13  1.28018256e-14  1.34105747e-12
  1.26540976e-13]",0.46783924102783203
1000,100,13,Sphere,Iterative,1.309860933776447e-25,"[-8.1857264e-16 -1.2984308e-13  3.2889370e-13 -3.2753314e-14
 -6.9873794e-14]",2.447707414627075
1000,100,14,Sphere,Parallel,1.9853524933843606e-19,"[ 3.5263462e-10 -6.6286809e-11 -6.9869964e-11 -7.5308343e-11
  2.4338648e-10]",0.5061812400817871
1000,100,14,Sphere,Iterative,5.613114173131715e-19,"[-1.8334315e-10 -6.5670269e-10  1.8317442e-10  2.4558200e-10
  5.0743458e-11]",2.5436246395111084
1000,100,15,Sphere,Parallel,9.886382387005407e-17,"[ 8.2606917e-09 -5.0422315e-09  3.4193803e-10  1.9037820e-09
  1.2080523e-09]",0.472994327545166
1000,100,15,Sphere,Iterative,4.3173329933905905e-12,"[-1.5866453e-06  1.9513323e-08  3.2511321e-07 -1.3007150e-06
  4.4166597e-08]",2.406578779220581
1000,100,16,Sphere,Parallel,3.5169639449010075e-11,"[ 4.5633560e-06  8.8479783e-07 -1.7355342e-06 -4.7947469e-07
 -3.2125658e-06]",0.5001583099365234
1000,100,16,Sphere,Iterative,5.908235470756065e-11,"[-1.2681312e-07 -4.4566600e-06  2.5991180e-06 -5.1326124e-06
  2.4708966e-06]",2.4320061206817627
1000,100,17,Sphere,Parallel,1.2270133995511979e-18,"[ 6.1394112e-11  6.1927863e-10  7.0270156e-10  4.2061776e-10
 -4.1113180e-10]",0.4510047435760498
1000,100,17,Sphere,Iterative,1.4182823778068706e-19,"[-1.8528623e-10  1.9114144e-10 -1.2976570e-10  4.3890669e-11
 -2.2846591e-10]",2.3994672298431396
1000,100,18,Sphere,Parallel,6.650621834812486e-23,"[-1.2141677e-13  6.5057959e-12 -4.4857867e-12  1.7077173e-12
 -1.0618451e-12]",0.45516085624694824
1000,100,18,Sphere,Iterative,8.929450511017813e-23,"[-1.4079987e-12  5.4891230e-12  3.2796543e-12  4.7073456e-12
  4.9260873e-12]",2.343271493911743
1000,100,19,Sphere,Parallel,8.177231612569137e-11,"[ 1.6890408e-07 -8.6625751e-06  1.4095713e-06 -2.1070418e-06
  5.2636915e-07]",0.4563736915588379
1000,100,19,Sphere,Iterative,1.1661765672056623e-10,"[-9.0856156e-06 -2.1631722e-06  4.5583802e-06  2.7204906e-06
 -1.1000143e-06]",2.3631067276000977
1000,100,20,Sphere,Parallel,2.1531358989679213e-20,"[ 7.9851237e-11  2.4603986e-11  4.1243453e-11 -9.3726263e-11
 -6.3750671e-11]",0.4442756175994873
1000,100,20,Sphere,Iterative,1.4925260081949182e-21,"[-1.9527435e-13  2.2510938e-11 -1.4592730e-11 -2.5464984e-11
  1.1150442e-11]",2.3524091243743896
1000,100,21,Sphere,Parallel,2.8626372882600577e-05,[ 0.00097558  0.00325025 -0.00269059  0.00160465 -0.00270118],0.45835375785827637
1000,100,21,Sphere,Iterative,0.0007408061919704778,[-0.01609761  0.01806379 -0.00656038 -0.00961525 -0.00445879],2.4185590744018555
1000,100,22,Sphere,Parallel,6.832915779097916e-10,"[-5.3264375e-06  9.3638591e-06  1.1104676e-06  3.3998294e-06
  2.3546694e-05]",0.4727787971496582
1000,100,22,Sphere,Iterative,1.6583238766562647e-09,"[ 3.18853199e-05  2.39517249e-06 -1.27556705e-05  1.14642025e-05
 -1.84872479e-05]",2.414186477661133
1000,100,23,Sphere,Parallel,1.8139037805329666e-19,"[ 2.7387176e-10 -4.6608981e-11  7.4161871e-11 -2.6013466e-10
  1.7618801e-10]",0.4463791847229004
1000,100,23,Sphere,Iterative,6.432679085650157e-20,"[ 2.4489022e-11  6.6977160e-11 -4.7002305e-11 -2.2735679e-10
 -7.3080875e-11]",2.375117778778076
1000,100,24,Sphere,Parallel,4.1438146635671205e-10,"[-2.4494948e-06  7.3971023e-06  1.0096053e-05 -1.1756798e-05
  1.0654188e-05]",0.4433412551879883
1000,100,24,Sphere,Iterative,1.0516432737728049e-10,"[-2.1903761e-06 -7.7308723e-06  5.7426514e-06  9.2008122e-08
 -2.7592905e-06]",2.345972776412964
1000,100,25,Sphere,Parallel,8.0395413247201105e-22,"[-2.5215594e-12  2.0706216e-11 -7.2185313e-14 -1.3577903e-11
  1.3582482e-11]",0.45621180534362793
1000,100,25,Sphere,Iterative,1.1802856874653584e-21,"[ 1.7771035e-11 -1.9188585e-11 -6.3726672e-13 -1.7507343e-11
 -1.3760854e-11]",2.355623960494995
1000,100,26,Sphere,Parallel,1.4598664111113587e-16,"[ 8.98585295e-09  2.89437851e-09 -7.52982032e-09 -1.15641274e-10
  3.89992150e-10]",0.4636209011077881
1000,100,26,Sphere,Iterative,9.353897631006813e-17,"[-1.2822525e-09 -3.1681857e-10  1.3710117e-09  9.1326573e-09
  2.5513387e-09]",2.3441660404205322
1000,100,27,Sphere,Parallel,1.718227202141034e-23,"[-8.9267439e-13 -4.7389176e-14 -1.9805728e-13 -3.5196577e-12
  1.9889550e-12]",0.4679434299468994
1000,100,27,Sphere,Iterative,2.962030490902996e-23,"[ 6.3941734e-13 -4.1991410e-13 -3.1672286e-12 -4.0886218e-12
  1.5122686e-12]",2.3469810485839844
1000,100,28,Sphere,Parallel,0.6116308162498543,[-0.05866948  0.3332808   0.03686368  0.6383527  -0.29708505],0.4601328372955322
1000,100,28,Sphere,Iterative,0.3517485995835159,[-0.20406097  0.03424311  0.36268646 -0.02104765  0.42065504],2.5050320625305176
1000,100,29,Sphere,Parallel,9.4900058960431e-09,"[ 4.3660264e-05  7.6228534e-05  2.4073757e-05  3.3935983e-05
 -6.4653723e-06]",0.4812021255493164
1000,100,29,Sphere,Iterative,2.329039823007655e-10,"[ 2.5322438e-06 -1.3854912e-05 -1.6373451e-06  5.6282825e-06
 -4.1793919e-07]",2.5728185176849365
